Date,Type,Price,Shares,Profit,PnL_%
2015-03-06,BUY,1164.0999755859375,85.90327471630265,,
2015-05-13,SELL,1218.4000244140625,,4664.552011591062,4.66455201159107
2015-07-07,BUY,1152.4000244140625,90.82310811717288,,
2015-08-20,SELL,1153.0,,54.491647509261384,0.05206313547611711
2015-11-03,BUY,1114.199951171875,93.98586272505275,,
2016-01-06,SELL,1091.9000244140625,,-2095.8778550384886,-2.001429522085174
2016-05-24,BUY,1228.9000244140625,83.50814855992243,,
2016-07-05,SELL,1356.4000244140625,,10647.288941390114,10.375132025958889
2016-08-25,BUY,1320.0999755859375,85.80445181447405,,
2016-11-01,SELL,1286.4000244140625,,-2891.605836477276,-2.552833254687168
2016-11-14,BUY,1221.199951171875,90.38556610082901,,
2017-02-06,SELL,1230.0,,795.3973950450163,0.7206067130677815
2017-03-08,BUY,1208.5,91.99358403311517,,
2017-04-12,SELL,1275.300048828125,,6145.175905286305,5.527517486812164
2017-05-04,BUY,1226.5,95.65382976706563,,
2017-08-28,SELL,1309.699951171875,,7958.393966022704,6.783526389879739
2017-12-05,BUY,1261.5999755859375,99.3007439756367,,
2017-12-29,SELL,1306.300048828125,,4438.750528714663,3.54312572187765
2018-05-01,BUY,1303.800048828125,99.49115036514576,,
2018-10-11,SELL,1223.5,,-7989.144232287523,-6.158923594173806
2018-11-09,BUY,1206.4000244140625,100.90137600161086,,
2018-12-04,SELL,1241.0999755859375,,3501.272820430895,2.8763221543143165
2019-03-04,BUY,1284.800048828125,97.46940421305922,,
2019-05-13,SELL,1300.0999755859375,,1491.2747455874342,1.190841078482809
2019-09-30,BUY,1465.699951171875,86.45696544948194,,
2019-10-31,SELL,1511.4000244140625,,3951.0896533385967,3.1179692136612815
2019-11-07,BUY,1464.199951171875,89.24399948690748,,
2019-12-24,SELL,1499.0999755859375,,3114.6177609016595,2.383555906154088
2020-03-13,BUY,1515.699951171875,88.26659745458,,
2020-05-15,SELL,1753.4000244140625,,20980.976679792337,15.68252826414673
2020-06-05,BUY,1676.199951171875,92.33185696229461,,
2020-06-23,SELL,1772.0999755859375,,8854.627336879785,5.721275934116112
2020-09-21,BUY,1901.199951171875,86.06211112504633,,
2020-11-05,SELL,1945.300048828125,,3795.347505117592,2.31959282499809
2020-11-09,BUY,1853.199951171875,90.33921507926756,,
2021-01-04,SELL,1944.699951171875,,8266.038179752999,4.9374056988367485
2021-02-04,BUY,1788.9000244140625,98.207090813306,,
2021-04-16,SELL,1779.0,,-972.2525966857793,-0.5534140689223346
2021-06-15,BUY,1854.5,94.20890512637982,,
2021-07-15,SELL,1828.4000244140625,,-2458.850123776414,-1.4073861194897546
2021-08-06,BUY,1760.0,97.8702070642585,,
2021-10-13,SELL,1793.699951171875,,3298.221199246793,1.9147699529474431
2022-04-25,BUY,1893.199951171875,92.72648962603125,,
2022-08-04,SELL,1788.5,,-9708.458936184848,-5.530316600054136
2022-09-01,BUY,1696.5999755859375,97.74922143263734,,
2022-11-08,SELL,1712.0999755859375,,1515.1129322058987,0.9135919028082575
2023-05-18,BUY,1956.5,85.5386862398992,,
2023-07-18,SELL,1977.199951171875,,1770.6466284722555,1.0580092599987223
2023-08-09,BUY,1915.4000244140625,88.29857163052533,,
2023-11-28,SELL,2039.699951171875,,10975.50598649378,6.489502201809616
2024-02-13,BUY,1992.9000244140625,90.37211603039708,,
2024-03-01,SELL,2086.89990234375,,8494.967875104863,4.716738259729042
2024-11-11,BUY,2611.199951171875,72.2263953910513,,
2024-12-11,SELL,2733.800048828125,,8854.96312830181,4.695163141421956
