Date,Type,Price,Shares,Profit,PnL_%
2015-03-11,BUY,15.345000267028809,6516.780596926154,,
2015-05-13,SELL,17.207000732421875,,12134.248504340998,12.134248504341006
2015-07-07,BUY,14.949999809265137,7500.61872474719,,
2015-08-10,SELL,15.288999557495115,,2542.707859258371,2.2675568732775933
2015-08-26,BUY,14.045000076293944,8164.96658886877,,
2015-09-21,SELL,15.215999603271484,,9561.172013352756,8.33748323685686
2015-11-02,BUY,15.413000106811523,8060.606469602703,,
2016-01-26,SELL,14.543999671936035,,-7004.67052744492,-5.638100492138761
2016-05-19,BUY,16.479000091552734,7114.112336803858,,
2016-06-30,SELL,18.582000732421875,,14960.982803513572,12.761700523001728
2016-08-22,BUY,18.843000411987305,7015.572773055982,,
2016-11-01,SELL,18.38500022888184,,-3213.1336146493413,-2.4306117555147977
2016-11-14,BUY,16.87700080871582,7642.430577579957,,
2017-01-31,SELL,17.511999130249023,,4852.930589197305,3.7625069094342276
2017-03-08,BUY,17.256999969482422,7755.359440473057,,
2017-08-10,SELL,17.035999298095703,,-1713.939643189864,-1.2806436331780735
2017-11-29,BUY,16.457000732421875,8028.212438739774,,
2017-12-28,SELL,16.832000732421875,,3010.5796645274095,2.2786655120043466
2018-02-07,BUY,16.20599937438965,8338.324254316194,,
2018-04-11,SELL,16.738000869750977,,4436.000972103822,3.2827441435179274
2018-07-19,BUY,15.34000015258789,9098.231892616042,,
2018-09-28,SELL,14.623000144958496,,-6523.432336419704,-4.674054762042719
2018-11-09,BUY,14.102999687194824,9433.698449656109,,
2018-12-12,SELL,14.725000381469728,,5867.766985266178,4.410414153519874
2019-03-01,BUY,15.168999671936035,9157.572435501754,,
2019-06-07,SELL,14.994000434875488,,-1602.56818953951,-1.1536636617133733
2019-09-30,BUY,16.898000717163086,8125.733178650798,,
2019-10-31,SELL,18.013999938964844,,9068.311903943017,6.604326988033865
2019-11-07,BUY,16.969999313354492,8625.631285033061,,
2019-12-23,SELL,17.402999877929688,,3734.9032162367657,2.5515650094013074
2020-01-28,BUY,17.402000427246094,8626.126681704283,,
2020-02-19,SELL,18.29199981689453,,7677.247481746919,5.114351038947089
2020-02-28,BUY,16.386999130249023,9628.920245133739,,
2020-05-14,SELL,16.13599967956543,,-2416.8536922047206,-1.5316986880182952
2020-09-21,BUY,24.298999786376957,6394.183108604631,,
2020-12-17,SELL,26.100000381469727,,11515.927583729062,7.411830161431117
2021-03-04,BUY,25.43400001525879,6561.617577795306,,
2021-04-21,SELL,26.565000534057617,,7421.192884646007,4.446805528506328
2021-06-17,BUY,25.8439998626709,6744.674794329604,,
2021-09-03,SELL,24.761999130249023,,-7297.743067411997,-4.186661268268764
2021-09-16,BUY,22.75200080871582,7340.525028771248,,
2021-10-14,SELL,23.45599937438965,,5167.719091547799,3.094227059820343
2022-04-25,BUY,23.667999267578125,7274.774201907796,,
2022-07-29,SELL,20.1560001373291,,-25549.000669858215,-14.83859742661043
2023-02-03,BUY,22.333999633789062,6565.3421786062445,,
2023-05-04,SELL,26.03499984741211,,24298.33280553011,16.571148358146345
2023-05-11,BUY,24.2549991607666,7047.152691503927,,
2023-07-13,SELL,24.76799964904785,,3615.1927717340295,2.1150299156103376
2023-08-08,BUY,22.71699905395508,7683.4037354756765,,
2023-11-16,SELL,23.892000198364254,,9028.008182141639,5.172343149807906
2024-04-30,BUY,26.391000747680664,6955.8515543686035,,
2024-05-15,SELL,29.513999938964844,,21723.118778985954,11.833576229801137
2024-07-25,BUY,27.80699920654297,7382.8535336088225,,
2024-09-13,SELL,30.698999404907227,,21351.213883690973,10.400259937734567
2024-12-19,BUY,29.0939998626709,7790.136017893271,,
2025-01-30,SELL,32.36399841308594,,25473.733486046985,11.23942588110965
2025-02-28,BUY,31.2189998626709,8075.849669427932,,
2025-03-13,SELL,34.05099868774414,,22870.796775288036,9.071395104042114
2025-04-03,BUY,31.8439998626709,8635.559216242402,,
2025-06-02,SELL,34.5629997253418,,23480.084323049465,8.538499793985503
